<stdin>:29: RuntimeWarning: overflow encountered in scalar add
x=260, R G B values:
  y=285: R=27 G=31 B=77 mean=45.0
  y=286: R=27 G=30 B=78 mean=45.0
  y=287: R=27 G=30 B=78 mean=45.0
  y=288: R=28 G=31 B=78 mean=45.7
  y=289: R=27 G=30 B=78 mean=45.0
  y=290: R=28 G=31 B=78 mean=45.7
  y=291: R=28 G=31 B=78 mean=45.7
  y=292: R=28 G=30 B=78 mean=45.3
  y=293: R=29 G=31 B=78 mean=46.0
  y=294: R=29 G=31 B=78 mean=46.0
  y=295: R=28 G=30 B=78 mean=45.3
  y=296: R=29 G=31 B=78 mean=46.0
  y=297: R=29 G=31 B=78 mean=46.0
  y=298: R=29 G=30 B=78 mean=45.7
  y=299: R=30 G=30 B=78 mean=46.0
  y=300: R=30 G=30 B=78 mean=46.0
  y=301: R=29 G=30 B=78 mean=45.7
  y=302: R=30 G=30 B=78 mean=46.0
  y=303: R=30 G=30 B=78 mean=46.0
  y=304: R=30 G=30 B=78 mean=46.0
  y=305: R=30 G=30 B=78 mean=46.0
  y=306: R=30 G=30 B=78 mean=46.0
  y=307: R=30 G=30 B=78 mean=46.0
  y=308: R=31 G=30 B=78 mean=46.3
  y=309: R=31 G=30 B=78 mean=46.3
  y=310: R=31 G=30 B=78 mean=46.3
  y=311: R=31 G=30 B=78 mean=46.3
  y=312: R=31 G=30 B=78 mean=46.3
  y=313: R=32 G=30 B=78 mean=46.7
  y=314: R=32 G=30 B=78 mean=46.7
  y=315: R=32 G=30 B=78 mean=46.7
  y=316: R=32 G=30 B=78 mean=46.7
  y=317: R=32 G=30 B=78 mean=46.7
  y=318: R=32 G=29 B=78 mean=46.3
  y=319: R=33 G=30 B=78 mean=47.0
  y=320: R=32 G=29 B=78 mean=46.3
  y=321: R=33 G=29 B=78 mean=46.7
  y=322: R=33 G=30 B=78 mean=47.0
  y=323: R=33 G=29 B=78 mean=46.7
  y=324: R=33 G=29 B=78 mean=46.7
  y=325: R=34 G=30 B=78 mean=47.3
  y=326: R=33 G=29 B=78 mean=46.7
  y=327: R=34 G=29 B=78 mean=47.0
  y=328: R=34 G=30 B=78 mean=47.3
  y=329: R=34 G=29 B=78 mean=47.0
  y=330: R=34 G=29 B=78 mean=47.0
  y=331: R=35 G=29 B=78 mean=47.3
  y=332: R=34 G=29 B=78 mean=47.0
  y=333: R=35 G=29 B=78 mean=47.3
  y=334: R=35 G=29 B=78 mean=47.3

x=30 (left edge, phone frame area):
  y=285: R=0 G=0 B=0 mean=0.0
  y=286: R=0 G=0 B=0 mean=0.0
  y=287: R=0 G=0 B=0 mean=0.0
  y=288: R=0 G=0 B=0 mean=0.0
  y=289: R=0 G=0 B=0 mean=0.0
  y=290: R=0 G=0 B=0 mean=0.0
  y=291: R=0 G=0 B=0 mean=0.0
  y=292: R=0 G=0 B=0 mean=0.0
  y=293: R=0 G=0 B=0 mean=0.0
  y=294: R=0 G=0 B=0 mean=0.0
  y=295: R=0 G=0 B=0 mean=0.0
  y=296: R=0 G=0 B=0 mean=0.0
  y=297: R=0 G=0 B=0 mean=0.0
  y=298: R=0 G=0 B=0 mean=0.0
  y=299: R=0 G=0 B=0 mean=0.0
  y=300: R=0 G=0 B=0 mean=0.0
  y=301: R=0 G=0 B=0 mean=0.0
  y=302: R=0 G=0 B=0 mean=0.0
  y=303: R=0 G=0 B=0 mean=0.0
  y=304: R=0 G=0 B=0 mean=0.0
  y=305: R=0 G=0 B=0 mean=0.0
  y=306: R=0 G=0 B=0 mean=0.0
  y=307: R=0 G=0 B=0 mean=0.0
  y=308: R=0 G=0 B=0 mean=0.0
  y=309: R=0 G=0 B=0 mean=0.0
  y=310: R=0 G=0 B=0 mean=0.0
  y=311: R=0 G=0 B=0 mean=0.0
  y=312: R=0 G=0 B=0 mean=0.0
  y=313: R=0 G=0 B=0 mean=0.0
  y=314: R=0 G=0 B=0 mean=0.0
  y=315: R=0 G=0 B=0 mean=0.0
  y=316: R=0 G=0 B=0 mean=0.0
  y=317: R=0 G=0 B=0 mean=0.0
  y=318: R=0 G=0 B=0 mean=0.0
  y=319: R=0 G=0 B=0 mean=0.0
  y=320: R=0 G=0 B=0 mean=0.0
  y=321: R=0 G=0 B=0 mean=0.0
  y=322: R=0 G=0 B=0 mean=0.0
  y=323: R=0 G=0 B=0 mean=0.0
  y=324: R=0 G=0 B=0 mean=0.0
  y=325: R=0 G=0 B=0 mean=0.0
  y=326: R=0 G=0 B=0 mean=0.0
  y=327: R=19 G=19 B=19 mean=19.0
  y=328: R=98 G=97 B=106 mean=15.0
  y=329: R=103 G=100 B=133 mean=26.7
  y=330: R=34 G=29 B=78 mean=47.0
  y=331: R=34 G=29 B=78 mean=47.0
  y=332: R=35 G=30 B=78 mean=47.7
  y=333: R=35 G=29 B=78 mean=47.3
  y=334: R=35 G=29 B=78 mean=47.3
